bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid,listing_sub_type.is_FSBA,listing_sub_type.is_bankOwned,datePriceChanged,priceChange,priceReduction,newConstructionType,listing_sub_type.is_newHome,unit,group_type,priceSuffix,providerListingID,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,videoCount
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28ba26011f7a18b8208024039dc3b0fe-p_e.jpg,False,True,False,False,False,False,False,29.813738,1811.0,-95.496376,sqft,2957.0,394990.0,394990.0,2650.0,False,TX,8406 Pech Landing Dr,,6307000,394200.0,77055,340894610,,,,,,BUILDER_SPEC,True,,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e0640da4dab2f1d202faf7198dae6ab-p_e.jpg,False,True,False,False,False,False,False,29.813738,1814.0,-95.496376,sqft,2020.0,399900.0,399900.0,,False,TX,8408 Pech Landing Dr,,6307000,,77055,351519148,,,,,,BUILDER_SPEC,True,,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1af96444b7e6b42763b425547cbc78f0-p_e.jpg,False,True,False,False,False,False,False,29.813738,1811.0,-95.496376,sqft,2957.0,409990.0,409990.0,,False,TX,8403 Pech Landing Dr,,6307000,,77055,351519147,,,,,,BUILDER_SPEC,True,,,,,,,,
3.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ca6adfe6c7eb92b2b30c463bebd6bb86-p_e.jpg,False,True,False,False,False,False,False,29.876081,1869.0,-95.142105,,,334905.0,334905.0,,False,TX,11139 Snapdragon Field Dr,,6546000,,77044,351519093,,,,,,BUILDER_SPEC,True,,,,,,,,
0.0,,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,LOT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.871654510498047,-95.41567993164062&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=HeCBAopi7IE52hrUra26-96rQW0=",False,True,False,False,False,False,False,29.871655,,-95.41568,sqft,7801.596,150000.0,150000.0,1099.0,False,TX,771 Prosper St,76875.0,6664000,,77088,97620725,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/40f591b240fad793ca4b767a02df2b12-p_e.jpg,False,True,False,False,False,False,False,29.876492,1540.0,-95.14281,,,301465.0,301465.0,,False,TX,11138 Snapdragon Field Dr,,6904000,,77044,351519035,,,,,,BUILDER_SPEC,True,,,,,,,,
4.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d014fdfeff95bf0a298c942afbfd3e28-p_e.jpg,False,True,False,False,False,False,False,29.876295,2719.0,-95.14244,,,394620.0,394620.0,,False,TX,11135 Snapdragon Field Dr,,7260000,,77044,351518928,,,,,,BUILDER_SPEC,True,,,,,,,,
4.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/14a5ec1d9f0e916645657f0b8adbb745-p_e.jpg,False,True,False,False,False,False,False,29.876028,2719.0,-95.14224,,,393670.0,393670.0,,False,TX,11127 Snapdragon Field Dr,,7727000,,77044,351518876,,,,,,BUILDER_SPEC,True,,,,,,,,
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/03704db99e339c19da72f76c1ded0406-p_e.jpg,False,True,False,False,False,False,False,29.692476,1122.0,-95.488144,acres,1.5873,140000.0,140000.0,1425.0,False,TX,5542 Holly St APT 209,132515.0,8322000,,77081,28300556,True,,,,,,,Apt 209,,,,,,,
4.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/b9a6c7299492b3a8f0ff3e2fc9176bb8-p_e.jpg,False,True,False,False,False,False,False,29.741201,2124.0,-95.25573,sqft,5000.0,285000.0,285000.0,2900.0,False,TX,339 Owens St,325349.0,8681000,283800.0,77029,97599603,True,,,,,,,,,,,,,,
1.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc3ff63167f00e3fc3a7d82996ef8ace-p_e.jpg,False,True,False,False,False,False,False,29.8634,875.0,-95.30519,sqft,6956.532,229900.0,229900.0,1398.0,False,TX,10423 Envoy St,112437.0,9870000,229700.0,77016,28020656,True,,,,,,,,,,,,,,
4.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e142cc82e6cbb65539c3ea80015e3ac1-p_e.jpg,False,True,False,False,False,False,False,29.8138,3322.0,-95.69674,sqft,8089.092,448000.0,448000.0,3114.0,False,TX,3103 Plum Knoll Ct,391830.0,11303000,451400.0,77084,28473697,True,,,,,,,,,,,,,,
4.0,5.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ccd7c19d7381786bc064f674b015024a-p_e.jpg,False,True,False,False,False,False,False,29.876165,2657.0,-95.142,,,395125.0,395125.0,,False,TX,11134 Snapdragon Field Dr,,11303000,,77044,351517479,,,,,,BUILDER_SPEC,True,,,,,,,,
2.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d46049450abfe5d75bb52ef44b860fd2-p_e.jpg,False,True,False,False,False,False,False,29.557262,998.0,-95.14538,acres,13.3709,139000.0,139000.0,1194.0,False,TX,260 El Dorado Blvd #2914,,11541000,,77062,2066992842,True,,,,,,,# 2914,,,,,,,
2.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8a1238d0611000c32473c29db45a43e1-p_e.jpg,False,True,False,True,False,False,False,29.834192,2338.0,-95.18404,,,306990.0,306990.0,1811.0,False,TX,"Spectra Plan, Imperial Forest",,11863000,307000.0,77049,2081170099,,,,,,BUILDER_PLAN,True,# 30P0QT,BUILDER_COMMUNITY,+,28908324,,,,
1.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e10ed5964ec56826f8c7b3327be3f2ab-p_e.jpg,False,True,False,False,False,False,False,29.628798,,-95.358345,,,192000.0,192000.0,,False,TX,1060 Sorsby Dr,,11896000,,77047,351517324,True,,,,,,,,,,,,,,
4.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/e6a3b24ed5c79e8d76179c6ab93c5776-p_e.jpg,False,True,False,False,False,False,False,29.72959,1910.0,-95.63969,,,275000.0,275000.0,1999.0,False,TX,14215 Mossy Gate Ln,248330.0,12376000,274700.0,77082,84010473,True,,,,,,,,,,,,,,
1.0,1.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ddbcf155de22460f86e7fe59d30e8c91-p_e.jpg,False,True,False,False,False,False,False,29.73127,680.0,-95.470695,acres,2.1489,112000.0,112000.0,1094.0,False,TX,5353 Richmond Ave #14,85387.0,12973000,110000.0,77056,28281189,True,,,,,,,# 14,,,,,,,
1.0,1.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/1257d312c021a1ea01eff6dca7bce5c5-p_e.jpg,False,True,False,False,False,False,False,29.638792,759.0,-95.50541,acres,3.1192,85000.0,85000.0,361.0,False,TX,14550 Fonmeadow Dr APT 1104,61483.0,14213000,83900.0,77035,28491705,True,,,,,,,Apt 1104,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/7cf8348d2fdcbc9d2e1b3acf5c99d0a7-p_e.jpg,False,True,False,False,False,False,False,29.73133,2232.0,-95.63953,sqft,2252.052,299000.0,299000.0,2100.0,False,TX,2719 Misty Heath Ln,327979.0,15287000,298300.0,77082,161359559,True,,,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e41b99f3d0714e2cf561b693d70906c5-p_e.jpg,False,True,False,False,False,False,False,29.871153,1965.0,-95.29427,sqft,5850.108,265000.0,265000.0,1911.0,False,TX,7427 Ida Wells Forest Dr,263162.0,15885000,265000.0,77016,120919964,True,,,,,,,,,,,,,,
3.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/662d6316271f41fc3f35deae06de5ad3-p_e.jpg,False,True,False,False,False,False,False,29.545023,1360.0,-95.09125,acres,2.9796,219000.0,219000.0,1260.0,False,TX,18218 Heritage Ln #8218,189841.0,17316000,217400.0,77058,28202732,True,,,,,,,# 8218,,,,,,,
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/17d7459c90bde1526f3c965e71c6d7c1-p_e.jpg,False,True,False,True,False,False,False,29.8647,1689.0,-95.2829,,,246990.0,246990.0,1471.0,False,TX,"RC Camden Plan, Wayside Village",,17548000,246700.0,77016,2060495590,,,1686034800000.0,3000.0,,BUILDER_PLAN,True,# 3PCT35,BUILDER_COMMUNITY,+,29658075,,,,
1.0,1.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/8224920366588218d297d354e4534a95-p_e.jpg,False,True,False,False,False,False,False,29.729666,757.0,-95.491936,acres,2.3915,1050.0,1050.0,1194.0,False,TX,3303 W Greenridge Dr APT 26,62990.0,18847000,100300.0,77057,28404372,True,,,,,,,Apt 26,,,,,,,
3.0,4.0,Humble,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/79e9491dc677ecaf49ae50232c422073-p_e.jpg,False,True,False,False,False,False,False,30.064842,2103.0,-95.21181,sqft,9840.204,200000.0,200000.0,2095.0,False,TX,2247 Oak Shores Dr,244544.0,18965000,201100.0,77339,28247140,True,,,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/388e6cb4a537e92416434b82ffab4f28-p_e.jpg,False,True,False,False,False,False,False,29.832205,2822.0,-95.69638,sqft,6599.34,405000.0,405000.0,2450.0,False,TX,4114 Guild Meadows Dr,414961.0,20158000,406300.0,77084,161427337,True,,,,,,,,,,,,,,
1.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3e7cdc659a6bcb1d74330ffb8e2ce488-p_e.jpg,False,True,False,False,False,False,False,29.69555,1512.0,-95.249756,sqft,6268.284,99999.0,99999.0,1494.0,False,TX,1115 Gober St,158182.0,20767000,99500.0,77017,28001805,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c056befa9a780418e21387e4f666a56a-p_e.jpg,False,True,False,False,False,False,False,30.013193,1495.0,-95.41006,sqft,4599.936,249000.0,249000.0,1723.0,False,TX,16531 Mablethorpe Ln,246567.0,21724000,248500.0,77073,161434045,True,,,,,,,,,,,,,,
2.0,2.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/567b1ba1fb923697f6e2ba0e313fdf43-p_e.jpg,False,True,False,False,False,False,False,29.713291,1200.0,-95.28687,sqft,6825.852,249000.0,249000.0,1500.0,False,TX,7411 Fir St,200085.0,21962000,249000.0,77012,27890282,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5dfca2eef40d3c4258e59a7e13b9890b-p_e.jpg,False,True,False,False,False,False,False,29.61301,1332.0,-95.24007,sqft,6821.496,247000.0,247000.0,1694.0,False,TX,9918 Caffrey St,178488.0,22317000,246800.0,77075,28005184,True,,,,,,,,,,,,,,
1.0,1.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/c0b3b03ad7822c74acea98c212bd0ec4-p_e.jpg,False,True,False,False,False,False,False,29.74181,683.0,-95.42051,,,275000.0,275000.0,1367.0,False,TX,2701 Westheimer Rd #8C,279508.0,24156000,273800.0,77098,28398811,True,,,,,,,# 8C,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b17f3549294d3afbecf5aa4e0ecfcc33-p_e.jpg,False,True,False,False,False,False,False,29.797277,1391.0,-95.31356,sqft,7200.468,197000.0,197000.0,1650.0,False,TX,5535 Crane St,203198.0,24416000,196700.0,77026,27870555,True,,,,,,,,,,,,,,
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/82a3edc27be1aad71a3eed5aca4fbc3e-p_e.jpg,False,True,False,False,False,False,False,29.767485,1932.0,-95.33505,sqft,2334.816,410000.0,410000.0,2700.0,False,TX,3417 Gillespie St,351500.0,24809000,408000.0,77020,89640477,True,,,,,,,,,,,,,,
1.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8f2cf83ed0950a2ea1b541ded9935436-p_e.jpg,False,True,False,False,False,False,False,29.773243,669.0,-95.35953,sqft,3001.284,160000.0,160000.0,1400.0,False,TX,1511 Freeman St,161336.0,24929000,159000.0,77009,27741074,True,,,,,,,,,,,,,,
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a9a379a89cb861a0bb7b9a13f04a201-p_e.jpg,False,True,False,False,False,False,False,29.862623,2446.0,-95.621414,sqft,6899.904,369000.0,369000.0,2350.0,False,TX,13918 Somersworth Dr,344083.0,24929000,373300.0,77041,28492660,True,,,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e238b3deb80c15068f51d5668032b33f-p_e.jpg,False,True,False,False,True,False,False,29.815796,2146.0,-95.3942,sqft,3001.284,529000.0,529000.0,1250.0,False,TX,409 E 32nd St,84000.0,25407000,,77018,97666907,,,,,,BUILDER_SPEC,True,,,,,,,,
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fc3f066c027ec1ba0f6048a2e50b6868-p_e.jpg,False,True,False,False,False,False,False,29.888077,1237.0,-95.49902,sqft,6381.54,222500.0,222500.0,1700.0,False,TX,7211 Sawmill Trl,187065.0,25407000,,77040,28207135,True,,1717398000000.0,-6500.0,"$6,500 (Jun 3)",,,,,,,,,,
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/dc2669a16bafe4f8140e6014da8ae346-p_e.jpg,False,True,False,False,False,False,False,29.794682,1702.0,-95.470024,,,445191.0,445191.0,1450.0,False,TX,6804 Westview Dr APT 3201,,25407000,,77055,2053147900,,,,,,NEW_CONSTRUCTION_TYPE_OTHER,True,Apt 3201,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/26304c8b8fb26be680da853bf557932d-p_e.jpg,False,True,False,False,False,False,False,29.69433,1390.0,-95.33474,sqft,6207.3,185000.0,185000.0,1875.0,False,TX,5311 Kingsbury St,124759.0,25766000,183100.0,77021,27951117,True,,,,,,,,,,,,,,
0.0,,Huffman,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/81c22ae2cfbcf6e9df97c14a954fe58b-p_e.jpg,False,True,False,False,False,False,False,30.052492,,-95.1203,acres,0.43,93000.0,93000.0,,False,TX,155 W Lake Dr LOT 17-18,,26003000,,77336,351494768,True,,,,,,,Lot 17-18,,,,,,,
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0277eae4fa4f7275e866ab154d36887-p_e.jpg,False,True,False,False,False,False,False,29.797115,3542.0,-95.48143,sqft,2235.0,550000.0,550000.0,5500.0,False,TX,7610 Shady Villa Gdn,484860.0,26004000,551500.0,77055,80522964,True,,1717398000000.0,-49900.0,"$49,900 (Jun 3)",,,,,,,,,,
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8a8181a5f5c3221099348231ca9f6f0-p_e.jpg,False,True,False,False,False,False,False,29.66608,2207.0,-95.4912,sqft,9321.84,442900.0,442900.0,2685.0,False,TX,5821 Willowbend Blvd,297000.0,26365000,443300.0,77096,28055859,True,,,,,,,,,,,,,,
6.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cfe77dfd6feb0578ddc5c12e415fe179-p_e.jpg,False,True,False,False,False,False,False,29.763716,7794.0,-95.483215,acres,0.37900000000000006,5200000.0,5200000.0,24592.0,False,TX,5926 Stones Throw Rd,2974137.0,26365000,5160000.0,77057,28032428,True,,,,,,,,,,,,,,
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/a9761362f8a91f23247004790337c6cd-p_e.jpg,False,True,False,False,False,False,False,29.887554,,-95.28982,sqft,9535.284,150000.0,150000.0,1845.0,False,TX,11526 Spottswood Dr,36191.0,26583000,,77016,27756521,True,,,,,,,,,,,,,,
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/a9761362f8a91f23247004790337c6cd-p_e.jpg,False,True,False,False,False,False,False,29.887777,,-95.28982,sqft,9517.86,150000.0,150000.0,974.0,False,TX,11524 Spottswood Dr,36182.0,26583000,,77016,338047853,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7fea1307ff746398438b4e6d8a62405c-p_e.jpg,False,True,False,False,False,False,False,29.812662,1125.0,-95.43764,sqft,7069.788,415000.0,415000.0,2100.0,False,TX,2015 Ansbury Dr,288206.0,26583000,421900.0,77018,28020368,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e8088d796d4c10fb055b68d0d331cd17-p_e.jpg,False,True,False,False,False,False,False,29.75139,2293.0,-95.621346,,,459000.0,459000.0,2400.0,False,TX,1623 Lakeside Enclave Dr,431117.0,26583000,462300.0,77077,28547600,True,,,,,,,,,,,Sun. 1-3pm,True,"[{'open_house_end': 1717970400000, 'open_house_start': 1717963200000}]",
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f5b788bd60e6ed725ced1f3898d7cab0-p_e.jpg,False,True,False,False,False,False,False,29.707012,2350.0,-95.37046,sqft,9199.872,530000.0,530000.0,2500.0,False,TX,3319 Charleston St,438269.0,27116000,530500.0,77021,27849502,True,,,,,,,,,,,,,,
3.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e513da63b846bc2ea7dd617b7efe806-p_e.jpg,False,True,False,False,False,False,False,29.69176,1669.0,-95.42159,sqft,9448.164,499900.0,499900.0,2499.0,False,TX,2815 Ashwood St,339200.0,27116000,501000.0,77025,27986281,True,,1716447600000.0,-19100.0,"$19,100 (May 23)",,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.809375762939453,-95.18728637695312&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=xnykb7bh0Frg4G6id9fY7rWr6yM=",False,True,False,False,False,False,False,29.809376,2074.0,-95.18729,sqft,7562.016,200000.0,200000.0,1975.0,False,TX,14630 Merry Meadow Dr,227436.0,27354000,201700.0,77049,28320493,True,,,,,,,,,,,,,,
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/333feb1cd3fe0e353ac2fd00d73f1cf6-p_e.jpg,False,True,False,False,False,False,False,29.832245,1401.0,-95.4574,sqft,7148.196,299900.0,299900.0,2500.0,False,TX,4413 W 43rd St,219550.0,27474000,299400.0,77092,27979129,True,,,,,,,,,,,,,,
3.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/4a79d3f260e746fb33e0f9e2ccaf9f0e-p_e.jpg,False,True,False,False,False,False,False,29.736155,1680.0,-95.41623,,,1049000.0,1049000.0,6894.0,False,TX,2323 W Main St #205,,27834000,1043900.0,77098,2055183128,,,,,,NEW_CONSTRUCTION_TYPE_OTHER,True,# 205,,,,Tue. 12-4pm,True,"[{'open_house_end': 1717542000000, 'open_house_start': 1717527600000}, {'open_house_end': 1717887600000, 'open_house_start': 1717873200000}, {'open_house_end': 1717974000000, 'open_house_start': 1717959600000}]",
4.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/79d77ae06d09246a1caa402dede8db82-p_e.jpg,False,True,False,False,False,False,False,29.927036,3382.0,-95.16538,sqft,7805.952,448985.0,448985.0,3200.0,False,TX,14523 Mountain Cliff Ln,433305.0,28550000,447800.0,77044,126282798,True,,,,,,,,,,,,,,
